4,120
3,182
1,197
3,210
2,243
0,258
2,272
3,294
1,310
3,328
3,400
1,423
3,440
2,470
0,490
2,500
3,532
1,548
3,560
4,626
3,668
1,676
3,693
2,722
0,738
2,756
3,785
1,800
3,820
3,890
1,910
3,925
2,953
0,976
2,994
3,1020
1,1040
3,1058
4,1107
3,1140
1,1156
3,1170
2,1200
0,1250
2,1230
3,1260
1,1276
3,1293
4,1355
3,1386
1,1400
3,1415
2,1450
0,1460
2,1470
3,1500
1,1520
3,1535
4,1597
3,1630
1,1645
3,1660
2,1690
0,1700
2,1720
3,1750
1,1768
3,1783
4,1837
3,1872
1,1880
3,1900
2,1936
0,1950
0,1975
3,1975
2,2097
0,2112
3,2127
1,2142
2,2157
0,2172
3,2187
0,2202
2,2217
1,2232
2,2335
0,2350
3,2365
1,2380
2,2395
0,2410
3,2425
0,2440
2,2455
1,2470
2,2578
0,2593
3,2608
1,2623
2,2638
0,2653
3,2668
0,2683
2,2698
1,2713
2,2821
0,2836
3,2851
1,2866
2,2881
0,2896
3,2911
0,2926
2,2941
1,2956
2,3067
0,3082
3,3097
1,3112
2,3127
0,3142
3,3157
0,3172
2,3187
1,3202
2,3313
0,3328
3,3343
1,3358
2,3373
0,3388
3,3403
0,3418
2,3433
1,3448
